[INFO][2016-06-16 10:35:12,549][com.sirding.test.TestIniEditorSpread]one	123456	0
[INFO][2016-06-16 10:35:12,554][com.sirding.test.TestIniEditorSpread]two	test@123	0
[INFO][2016-06-16 10:35:12,554][com.sirding.test.TestIniEditorSpread]three	111111	0
[INFO][2016-06-16 10:35:12,554][com.sirding.test.TestIniEditorSpread]C:/yrtz/project4ecplise/inieditor-spread/target/test-classes/test.ini
[ERROR][2016-06-18 15:06:13,272][com.sirding.service.impl.SecServiceImpl]ERROR-Exception=======没有CONF_FILE_PATH属性或配置文件不存在======
[DEBUG][2016-06-18 15:13:09,685][com.sirding.service.impl.SecServiceImpl]配置信息将保存到【E:/git/github/inieditor-spread/target/test-classes/test.ini】文件中
[DEBUG][2016-06-18 15:13:09,904][com.sirding.service.impl.SecServiceImpl]配置信息已成功保存到文件中......
[DEBUG][2016-06-20 09:20:44,258][com.sirding.service.impl.SecServiceImpl]配置信息将保存到【C:/yrtz/project4ecplise/inieditor-spread/target/test-classes/test.ini】文件中
[DEBUG][2016-06-20 09:20:44,285][com.sirding.service.impl.SecServiceImpl]配置信息已成功保存到文件中......
[DEBUG][2016-06-20 09:22:29,460][com.sirding.service.impl.SecServiceImpl]配置信息将保存到【C:/yrtz/project4ecplise/inieditor-spread/target/test-classes/test.ini】文件中
[DEBUG][2016-06-20 09:24:17,328][com.sirding.service.impl.SecServiceImpl]配置信息已成功保存到文件中......
[DEBUG][2016-06-20 09:24:25,662][com.sirding.service.impl.SecServiceImpl]配置信息将保存到【C:/yrtz/project4ecplise/inieditor-spread/target/test-classes/test.ini】文件中
[DEBUG][2016-06-20 09:30:17,157][com.sirding.service.impl.SecServiceImpl]配置信息已成功保存到文件中......
[DEBUG][2016-06-20 09:40:29,913][com.sirding.service.impl.SecServiceImpl]配置信息将保存到【C:/yrtz/project4ecplise/inieditor-spread/target/test-classes/test.ini】文件中
[DEBUG][2016-06-20 09:40:29,937][com.sirding.service.impl.SecServiceImpl]配置信息已成功保存到文件中......
[DEBUG][2016-06-20 10:13:54,438][com.sirding.service.impl.SecServiceImpl]配置信息将保存到【C:/yrtz/project4ecplise/inieditor-spread/target/test-classes/test.ini】文件中
[DEBUG][2016-06-20 10:13:54,460][com.sirding.service.impl.SecServiceImpl]配置信息已成功保存到文件中......
[DEBUG][2016-06-20 10:16:06,649][com.sirding.service.impl.SecServiceImpl]配置信息将保存到【C:/yrtz/project4ecplise/inieditor-spread/target/test-classes/test.ini】文件中
[DEBUG][2016-06-20 10:16:06,675][com.sirding.service.impl.SecServiceImpl]配置信息已成功保存到文件中......
[DEBUG][2016-06-20 10:18:04,303][com.sirding.service.impl.SecServiceImpl]配置信息将保存到【C:/yrtz/project4ecplise/inieditor-spread/target/test-classes/test.ini】文件中
[DEBUG][2016-06-20 10:18:04,335][com.sirding.service.impl.SecServiceImpl]配置信息已成功保存到文件中......
[DEBUG][2016-06-20 10:18:30,287][com.sirding.service.impl.SecServiceImpl]配置信息将保存到【C:/yrtz/project4ecplise/inieditor-spread/target/test-classes/test.ini】文件中
[DEBUG][2016-06-20 10:18:30,314][com.sirding.service.impl.SecServiceImpl]配置信息已成功保存到文件中......
[DEBUG][2016-06-20 10:22:58,697][com.sirding.service.impl.SecServiceImpl]配置信息将保存到【C:/yrtz/project4ecplise/inieditor-spread/target/test-classes/test.ini】文件中
[DEBUG][2016-06-20 10:24:48,757][com.sirding.service.impl.SecServiceImpl]配置信息将保存到【C:/yrtz/project4ecplise/inieditor-spread/target/test-classes/test.ini】文件中
[DEBUG][2016-06-20 10:25:02,745][com.sirding.service.impl.SecServiceImpl]配置信息将保存到【C:/yrtz/project4ecplise/inieditor-spread/target/test-classes/test.ini】文件中
[DEBUG][2016-06-20 10:25:10,555][com.sirding.service.impl.SecServiceImpl]配置信息将保存到【C:/yrtz/project4ecplise/inieditor-spread/target/test-classes/test.ini】文件中
[DEBUG][2016-06-20 10:27:10,005][com.sirding.service.impl.SecServiceImpl]配置信息将保存到【C:/yrtz/project4ecplise/inieditor-spread/target/test-classes/test.ini】文件中
[DEBUG][2016-06-20 11:13:41,417][com.sirding.service.impl.SecServiceImpl]配置信息将保存到【C:/yrtz/project4ecplise/inieditor-spread/target/test-classes/test.ini】文件中
[DEBUG][2016-06-20 11:13:41,448][com.sirding.service.impl.SecServiceImpl]配置信息已成功保存到文件中......
[DEBUG][2016-06-20 11:14:56,173][com.sirding.service.impl.SecServiceImpl]配置信息将保存到【C:/yrtz/project4ecplise/inieditor-spread/target/test-classes/test.ini】文件中
[DEBUG][2016-06-20 11:14:56,209][com.sirding.service.impl.SecServiceImpl]配置信息已成功保存到文件中......
[DEBUG][2016-06-20 11:15:44,580][com.sirding.service.impl.SecServiceImpl]配置信息将保存到【C:/yrtz/project4ecplise/inieditor-spread/target/test-classes/test.ini】文件中
[DEBUG][2016-06-20 11:15:44,608][com.sirding.service.impl.SecServiceImpl]配置信息已成功保存到文件中......
[DEBUG][2016-06-20 11:20:27,809][com.sirding.service.impl.SecServiceImpl]配置信息将保存到【C:/yrtz/project4ecplise/inieditor-spread/target/test-classes/test.ini】文件中
[DEBUG][2016-06-20 11:25:44,377][com.sirding.service.impl.SecServiceImpl]配置信息已成功保存到文件中......
[DEBUG][2016-06-20 11:27:41,365][com.sirding.service.impl.SecServiceImpl]配置信息将保存到【C:/yrtz/project4ecplise/inieditor-spread/target/test-classes/test.ini】文件中
[INFO][2016-06-20 11:28:11,610][com.sirding.service.impl.SecServiceImpl]neme_a===
[INFO][2016-06-20 11:28:14,699][com.sirding.service.impl.SecServiceImpl]===protool
[INFO][2016-06-20 11:28:16,995][com.sirding.service.impl.SecServiceImpl]===name_a
[DEBUG][2016-06-20 11:29:17,050][com.sirding.service.impl.SecServiceImpl]配置信息将保存到【C:/yrtz/project4ecplise/inieditor-spread/target/test-classes/test.ini】文件中
[INFO][2016-06-20 11:29:17,082][com.sirding.service.impl.SecServiceImpl]name_a===
[INFO][2016-06-20 11:29:17,083][com.sirding.service.impl.SecServiceImpl]===protool
[INFO][2016-06-20 11:29:17,084][com.sirding.service.impl.SecServiceImpl]===name_a
[INFO][2016-06-20 11:29:17,084][com.sirding.service.impl.SecServiceImpl]pwda===
[INFO][2016-06-20 11:29:17,085][com.sirding.service.impl.SecServiceImpl]===protool
[INFO][2016-06-20 11:29:17,086][com.sirding.service.impl.SecServiceImpl]===name_a
[INFO][2016-06-20 11:29:17,086][com.sirding.service.impl.SecServiceImpl]nameb===
[INFO][2016-06-20 11:29:17,087][com.sirding.service.impl.SecServiceImpl]===protool
[INFO][2016-06-20 11:29:17,087][com.sirding.service.impl.SecServiceImpl]===name_a
[INFO][2016-06-20 11:29:17,088][com.sirding.service.impl.SecServiceImpl]pwdb===
[INFO][2016-06-20 11:29:17,088][com.sirding.service.impl.SecServiceImpl]===protool
[INFO][2016-06-20 11:29:17,089][com.sirding.service.impl.SecServiceImpl]===name_a
[DEBUG][2016-06-20 11:29:17,090][com.sirding.service.impl.SecServiceImpl]配置信息已成功保存到文件中......
